T13CC 730:667 SEGGER J-Link V4.80f Log File (0000ms, 11577ms total)
T13CC 730:667 DLL Compiled: Feb  5 2014 10:36:54 (0000ms, 11577ms total)
T13CC 730:667 Logging started @ 2015-06-24 00:57 (0000ms, 11577ms total)
T13CC 730:668 JLINK_ExecCommand("Device = AT91SAM4SD32C", ...)Device "ATSAM4SD32C" selected (2048 KB flash, 160 KB RAM).  returns 0x00 (0003ms, 11581ms total)
T13CC 730:773 JLINK_ReadMemU8(0xE0002FDC, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0002FDC) -- Data:  00  returns 0x01 (0002ms, 11684ms total)
T13CC 730:775 JLINK_ReadMemU8(0xE0002FE0, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0002FE0) -- Data:  03  returns 0x01 (0001ms, 11685ms total)
T13CC 730:776 JLINK_ReadMemU8(0xE0002FE4, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0002FE4) -- Data:  B0  returns 0x01 (0002ms, 11687ms total)
T13CC 730:778 JLINK_ReadMemU8(0xE0002FE8, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0002FE8) -- Data:  2B  returns 0x01 (0001ms, 11688ms total)
T13CC 730:779 JLINK_ReadMemU8(0xE0002FEC, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0002FEC) -- Data:  00  returns 0x01 (0003ms, 11691ms total)
T13CC 730:782 JLINK_ReadMemU32(0xE00FF00C, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(4 bytes @ 0xE00FF00C) -- Data:  03 10 F0 FF  returns 0x01 (0001ms, 11692ms total)
T13CC 730:783 JLINK_ReadMemU8(0xE0000FF0, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FF0) -- Data:  0D  returns 0x01 (0002ms, 11694ms total)
T13CC 730:785 JLINK_ReadMemU8(0xE0000FF4, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FF4) -- Data:  E0  returns 0x01 (0002ms, 11696ms total)
T13CC 730:787 JLINK_ReadMemU8(0xE0000FF8, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FF8) -- Data:  05  returns 0x01 (0001ms, 11697ms total)
T13CC 730:788 JLINK_ReadMemU8(0xE0000FFC, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FFC) -- Data:  B1  returns 0x01 (0002ms, 11699ms total)
T13CC 730:790 JLINK_ReadMemU8(0xE0000FD0, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FD0) -- Data:  04  returns 0x01 (0001ms, 11700ms total)
T13CC 730:791 JLINK_ReadMemU8(0xE0000FD4, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FD4) -- Data:  00  returns 0x01 (0002ms, 11702ms total)
T13CC 730:793 JLINK_ReadMemU8(0xE0000FD8, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FD8) -- Data:  00  returns 0x01 (0001ms, 11703ms total)
T13CC 730:794 JLINK_ReadMemU8(0xE0000FDC, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FDC) -- Data:  00  returns 0x01 (0002ms, 11705ms total)
T13CC 730:796 JLINK_ReadMemU8(0xE0000FE0, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FE0) -- Data:  01  returns 0x01 (0001ms, 11706ms total)
T13CC 730:798 JLINK_ReadMemU8(0xE0000FE4, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FE4) -- Data:  B0  returns 0x01 (0001ms, 11707ms total)
T13CC 730:799 JLINK_ReadMemU8(0xE0000FE8, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FE8) -- Data:  3B  returns 0x01 (0002ms, 11709ms total)
T13CC 730:801 JLINK_ReadMemU8(0xE0000FEC, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(1 bytes @ 0xE0000FEC) -- Data:  00  returns 0x01 (0001ms, 11710ms total)
T13CC 730:802 JLINK_ReadMemU32(0xE00FF010, 0x0001 Items, ...) -- CPU is running -- CPU_ReadMem(4 bytes @ 0xE00FF010) -- Data:  03 10 F4 FF  returns 0x01 (0001ms, 11711ms total)
